Ciudad,Fecha,Temperatura
Cartagena,19/01/2022,27.5
Bogota,20/01/2022,16.6
Medellin,20/01/2022,21.7
Cali,20/01/2022,25.3
Barranquilla,20/01/2022,28.2
Cartagena,20/01/2022,28.9
Bogota,21/01/2022,12.1
Medellin,21/01/2022,22.6
Cali,21/01/2022,24.4
Barranquilla,21/01/2022,32.3
Cartagena,21/01/2022,29.6
Bogota,22/01/2022,13.9
Medellin,22/01/2022,22.8
Cali,22/01/2022,25.8
Barranquilla,22/01/2022,30.4
Cartagena,22/01/2022,27.7
Bogota,23/01/2022,13.6
Medellin,23/01/2022,21.6
Cali,23/01/2022,24.3
Barranquilla,23/01/2022,31.2
Cartagena,23/01/2022,27.2
Bogota,24/01/2022,15.4
Medellin,24/01/2022,22.1
Cali,24/01/2022,26.8
Barranquilla,24/01/2022,30.1
Cartagena,24/01/2022,30.2
Bogota,25/01/2022,15.2
Medellin,25/01/2022,25.3
Cali,25/01/2022,29.9
Barranquilla,25/01/2022,30.5
Cartagena,25/01/2022,30.4
Bogota,26/01/2022,12.6
Medellin,26/01/2022,24.8
Cali,26/01/2022,28.1
Barranquilla,26/01/2022,29.2
Cartagena,26/01/2022,28.2
Bogota,27/01/2022,16.1
Medellin,27/01/2022,22.6
Cali,27/01/2022,27.7
Barranquilla,27/01/2022,30.0
Cartagena,27/01/2022,32.4
Bogota,28/01/2022,13.0
Medellin,28/01/2022,24.9
Cali,28/01/2022,28.9
Barranquilla,28/01/2022,31.0
Cartagena,28/01/2022,29.8
Bogota,29/01/2022,12.3
Medellin,29/01/2022,23.9
Cali,29/01/2022,28.7
Barranquilla,29/01/2022,31.1
Cartagena,29/01/2022,29.3
Bogota,30/01/2022,12.2
Medellin,30/01/2022,20.2
Cali,30/01/2022,25.3
Barranquilla,30/01/2022,33.5
Cartagena,30/01/2022,31.4
Bogota,31/01/2022,16.4
Medellin,31/01/2022,22.0
Cali,31/01/2022,24.1
Barranquilla,31/01/2022,32.8
Cartagena,31/01/2022,31.4
Bogota,01/02/2022,16.7
Medellin,01/02/2022,24.6
Cali,01/02/2022,26.2
Barranquilla,01/02/2022,29.1
Cartagena,01/02/2022,32.3
Bogota,02/02/2022,15.4
Medellin,02/02/2022,21.1
Cali,02/02/2022,24.9
Barranquilla,02/02/2022,33.1
Cartagena,02/02/2022,27.2
Bogota,03/02/2022,12.1
Medellin,03/02/2022,22.7
Cali,03/02/2022,28.1
Barranquilla,03/02/2022,30.7
Cartagena,03/02/2022,30.6
Bogota,04/02/2022,13.2
Medellin,04/02/2022,23.4
Cali,04/02/2022,25.1
Barranquilla,04/02/2022,32.6
Cartagena,04/02/2022,28.8
Bogota,05/02/2022,14.6
Medellin,05/02/2022,23.5
Cali,05/02/2022,26.5
Barranquilla,05/02/2022,29.7
Cartagena,05/02/2022,30.6
Bogota,06/02/2022,16.0
Medellin,06/02/2022,20.2
Cali,06/02/2022,26.0
Barranquilla,06/02/2022,30.2
Cartagena,06/02/2022,32.4
Bogota,07/02/2022,14.6
Medellin,07/02/2022,24.2
Cali,07/02/2022,28.6
Barranquilla,07/02/2022,28.8
Cartagena,07/02/2022,31.5
Bogota,08/02/2022,12.6
Medellin,08/02/2022,24.7
Cali,08/02/2022,28.6
Barranquilla,08/02/2022,33.3
Cartagena,08/02/2022,27.7
Bogota,09/02/2022,13.9
Medellin,09/02/2022,20.2
Cali,09/02/2022,24.5
Barranquilla,09/02/2022,28.1
Cartagena,09/02/2022,30.0
Bogota,10/02/2022,14.2
Medellin,10/02/2022,23.6
Cali,10/02/2022,24.0
Barranquilla,10/02/2022,30.0
Cartagena,10/02/2022,31.1
Bogota,11/02/2022,12.1
Medellin,11/02/2022,20.7
Cali,11/02/2022,27.0
Barranquilla,11/02/2022,32.8
Cartagena,11/02/2022,28.4
Bogota,12/02/2022,16.3
Medellin,12/02/2022,23.9
Cali,12/02/2022,29.4
Barranquilla,12/02/2022,30.0
Cartagena,12/02/2022,27.6
Bogota,13/02/2022,14.2
Medellin,13/02/2022,20.7
Cali,13/02/2022,29.1
Barranquilla,13/02/2022,28.1
Cartagena,13/02/2022,32.2
Bogota,14/02/2022,12.9
Medellin,14/02/2022,20.8
Cali,14/02/2022,24.8
Barranquilla,14/02/2022,29.8
Cartagena,14/02/2022,27.1
Bogota,15/02/2022,16.1
Medellin,15/02/2022,20.4
Cali,15/02/2022,29.4
Barranquilla,15/02/2022,31.3
Cartagena,15/02/2022,28.8
Bogota,16/02/2022,12.2
Medellin,16/02/2022,23.6
Cali,16/02/2022,24.5
Barranquilla,16/02/2022,28.9
Cartagena,16/02/2022,31.6
Bogota,17/02/2022,16.5
Medellin,17/02/2022,22.2
Cali,17/02/2022,24.7
Barranquilla,17/02/2022,31.7
Cartagena,17/02/2022,28.1
Bogota,18/02/2022,13.7
Medellin,18/02/2022,24.5
Cali,18/02/2022,28.8
Barranquilla,18/02/2022,29.9
Cartagena,18/02/2022,31.4
Bogota,19/02/2022,16.1
Medellin,19/02/2022,20.8
Cali,19/02/2022,29.0
Barranquilla,19/02/2022,33.4
Cartagena,19/02/2022,32.9
Bogota,20/02/2022,15.8
Medellin,20/02/2022,24.3
Cali,20/02/2022,30.0
Barranquilla,20/02/2022,32.3
Cartagena,20/02/2022,30.5
Bogota,21/02/2022,14.2
Medellin,21/02/2022,21.9
Cali,21/02/2022,28.6
Barranquilla,21/02/2022,33.9
Cartagena,21/02/2022,32.3
Bogota,22/02/2022,15.7
Medellin,22/02/2022,23.8
Cali,22/02/2022,28.5
Barranquilla,22/02/2022,31.4
Cartagena,22/02/2022,27.8
Bogota,23/02/2022,12.6
Medellin,23/02/2022,25.1
Cali,23/02/2022,26.6
Barranquilla,23/02/2022,32.9
Cartagena,23/02/2022,30.6
Bogota,24/02/2022,13.8
Medellin,24/02/2022,22.3
Cali,24/02/2022,28.3
Barranquilla,24/02/2022,28.9
Cartagena,24/02/2022,31.8
Bogota,25/02/2022,14.7
Medellin,25/02/2022,25.2
Cali,25/02/2022,26.0
Barranquilla,25/02/2022,32.8
Cartagena,25/02/2022,27.9
Bogota,26/02/2022,16.7
Medellin,26/02/2022,25.0
Cali,26/02/2022,29.6
Barranquilla,26/02/2022,30.4
Cartagena,26/02/2022,29.4
Bogota,27/02/2022,13.3
Medellin,27/02/2022,24.2
Cali,27/02/2022,24.1
Barranquilla,27/02/2022,31.2
Cartagena,27/02/2022,29.4
Bogota,28/02/2022,13.3
Medellin,28/02/2022,25.8
Cali,28/02/2022,24.7
Barranquilla,28/02/2022,28.1
Cartagena,28/02/2022,27.0
Bogota,01/03/2022,15.1
Medellin,01/03/2022,24.1
Cali,01/03/2022,29.6
Barranquilla,01/03/2022,28.7
Cartagena,01/03/2022,32.1
Bogota,02/03/2022,13.2
Medellin,02/03/2022,22.0
Cali,02/03/2022,25.4
Barranquilla,02/03/2022,30.0
Cartagena,02/03/2022,27.9
Bogota,03/03/2022,14.9
Medellin,03/03/2022,21.4
Cali,03/03/2022,26.3
Barranquilla,03/03/2022,29.5
Cartagena,03/03/2022,31.4
Bogota,04/03/2022,14.1
Medellin,04/03/2022,23.0
Cali,04/03/2022,29.6
Barranquilla,04/03/2022,33.8
Cartagena,04/03/2022,31.8
Bogota,05/03/2022,12.2
Medellin,05/03/2022,21.8
Cali,05/03/2022,29.2
Barranquilla,05/03/2022,29.8
Cartagena,05/03/2022,31.8
Bogota,06/03/2022,15.9
Medellin,06/03/2022,20.7
Cali,06/03/2022,25.8
Barranquilla,06/03/2022,33.3
Cartagena,06/03/2022,33.0
Bogota,07/03/2022,13.4
Medellin,07/03/2022,23.6
Cali,07/03/2022,26.6
Barranquilla,07/03/2022,28.9
Cartagena,07/03/2022,29.8
Bogota,08/03/2022,16.6
Medellin,08/03/2022,25.8
Cali,08/03/2022,24.5
Barranquilla,08/03/2022,33.8
Cartagena,08/03/2022,28.9
Bogota,09/03/2022,15.2
Medellin,09/03/2022,24.2
Cali,09/03/2022,24.5
Barranquilla,09/03/2022,33.7
Cartagena,09/03/2022,32.3
Bogota,10/03/2022,13.8
Medellin,10/03/2022,24.1
Cali,10/03/2022,29.0
Barranquilla,10/03/2022,31.9
Cartagena,10/03/2022,27.6
Bogota,11/03/2022,16.7
Medellin,11/03/2022,24.7
Cali,11/03/2022,27.0
Barranquilla,11/03/2022,30.7
Cartagena,11/03/2022,32.4
Bogota,12/03/2022,14.3
Medellin,12/03/2022,23.3
Cali,12/03/2022,24.6
Barranquilla,12/03/2022,29.6
Cartagena,12/03/2022,27.7
Bogota,13/03/2022,12.8
Medellin,13/03/2022,20.3
Cali,13/03/2022,29.4
Barranquilla,13/03/2022,29.2
Cartagena,13/03/2022,29.6
Bogota,14/03/2022,13.7
Medellin,14/03/2022,22.4
Cali,14/03/2022,26.4
Barranquilla,14/03/2022,28.7
Cartagena,14/03/2022,32.4
Bogota,15/03/2022,12.3
Medellin,15/03/2022,21.1
Cali,15/03/2022,24.7
Barranquilla,15/03/2022,28.6
Cartagena,15/03/2022,32.4
Bogota,16/03/2022,13.8
Medellin,16/03/2022,23.7
Cali,16/03/2022,25.1
Barranquilla,16/03/2022,29.0
Cartagena,16/03/2022,31.2
Bogota,17/03/2022,16.2
Medellin,17/03/2022,24.8
Cali,17/03/2022,28.8
Barranquilla,17/03/2022,28.1
Cartagena,17/03/2022,31.9
Bogota,18/03/2022,13.6
Medellin,18/03/2022,20.5
Cali,18/03/2022,26.4
Barranquilla,18/03/2022,28.3
Cartagena,18/03/2022,29.5
Bogota,19/03/2022,15.5
Medellin,19/03/2022,20.8
Cali,19/03/2022,26.9
Barranquilla,19/03/2022,31.7
Cartagena,19/03/2022,31.0
Bogota,20/03/2022,13.3
Medellin,20/03/2022,25.0
Cali,20/03/2022,25.1
Barranquilla,20/03/2022,32.7
Cartagena,20/03/2022,32.9
Bogota,21/03/2022,12.7
Medellin,21/03/2022,25.8
Cali,21/03/2022,26.5
Barranquilla,21/03/2022,31.8
Cartagena,21/03/2022,30.7
Bogota,22/03/2022,16.3
Medellin,22/03/2022,21.1
Cali,22/03/2022,26.9
Barranquilla,22/03/2022,31.4
Cartagena,22/03/2022,31.0
Bogota,23/03/2022,15.5
Medellin,23/03/2022,22.1
Cali,23/03/2022,29.9
Barranquilla,23/03/2022,30.5
Cartagena,23/03/2022,30.8
Bogota,24/03/2022,14.0
Medellin,24/03/2022,22.2
Cali,24/03/2022,24.6
Barranquilla,24/03/2022,30.7
Cartagena,24/03/2022,32.5
Bogota,25/03/2022,12.2
Medellin,25/03/2022,24.9
Cali,25/03/2022,25.6
Barranquilla,25/03/2022,29.5
Cartagena,25/03/2022,32.2
Bogota,26/03/2022,15.2
Medellin,26/03/2022,21.1
Cali,26/03/2022,27.5
Barranquilla,26/03/2022,30.1
Cartagena,26/03/2022,31.2
Bogota,27/03/2022,12.4
Medellin,27/03/2022,21.0
Cali,27/03/2022,24.1
Barranquilla,27/03/2022,33.2
Cartagena,27/03/2022,27.6
Bogota,28/03/2022,15.8
Medellin,28/03/2022,21.0
Cali,28/03/2022,28.1
Barranquilla,28/03/2022,31.9
Cartagena,28/03/2022,31.5
Bogota,29/03/2022,12.2
Medellin,29/03/2022,22.2
Cali,29/03/2022,29.4
Barranquilla,29/03/2022,28.7
Cartagena,29/03/2022,27.7
Bogota,30/03/2022,12.4
Medellin,30/03/2022,24.8
Cali,30/03/2022,28.5
Barranquilla,30/03/2022,33.9
Cartagena,30/03/2022,28.2
Bogota,31/03/2022,15.8
Medellin,31/03/2022,23.3
Cali,31/03/2022,27.4
Barranquilla,31/03/2022,29.8
Cartagena,31/03/2022,27.8
Bogota,01/04/2022,13.2
Medellin,01/04/2022,23.0
Cali,01/04/2022,26.0
Barranquilla,01/04/2022,32.6
Cartagena,01/04/2022,29.8
Bogota,02/04/2022,15.7
Medellin,02/04/2022,21.3
Cali,02/04/2022,28.4
Barranquilla,02/04/2022,28.1
Cartagena,02/04/2022,27.5
Bogota,03/04/2022,15.7
Medellin,03/04/2022,22.8
Cali,03/04/2022,24.5
Barranquilla,03/04/2022,31.6
Cartagena,03/04/2022,27.9
Bogota,04/04/2022,12.2
Medellin,04/04/2022,21.6
Cali,04/04/2022,28.1
Barranquilla,04/04/2022,31.7
Cartagena,04/04/2022,27.2
Bogota,05/04/2022,13.9
Medellin,05/04/2022,22.9
Cali,05/04/2022,24.9
Barranquilla,05/04/2022,28.7
Cartagena,05/04/2022,30.9
Bogota,06/04/2022,13.0
Medellin,06/04/2022,25.1
Cali,06/04/2022,26.5
Barranquilla,06/04/2022,33.8
Cartagena,06/04/2022,32.1
Bogota,07/04/2022,13.6
Medellin,07/04/2022,21.1
Cali,07/04/2022,28.6
Barranquilla,07/04/2022,29.4
Cartagena,07/04/2022,28.8
Bogota,08/04/2022,16.5
Medellin,08/04/2022,25.6
Cali,08/04/2022,24.1
Barranquilla,08/04/2022,33.9
Cartagena,08/04/2022,28.4
Bogota,09/04/2022,14.8
Medellin,09/04/2022,24.0
Cali,09/04/2022,27.2
Barranquilla,09/04/2022,30.7
Cartagena,09/04/2022,32.2
Bogota,10/04/2022,14.0
Medellin,10/04/2022,25.8
Cali,10/04/2022,27.6
Barranquilla,10/04/2022,32.4
Cartagena,10/04/2022,31.6
Bogota,11/04/2022,12.4
Medellin,11/04/2022,24.9
Cali,11/04/2022,24.9
Barranquilla,11/04/2022,30.2
Cartagena,11/04/2022,30.6
Bogota,12/04/2022,12.4
Medellin,12/04/2022,20.7
Cali,12/04/2022,27.7
Barranquilla,12/04/2022,31.1
Cartagena,12/04/2022,32.1
Bogota,13/04/2022,13.0
Medellin,13/04/2022,22.5
Cali,13/04/2022,29.4
Barranquilla,13/04/2022,32.9
Cartagena,13/04/2022,28.4
Bogota,14/04/2022,13.5
Medellin,14/04/2022,25.3
Cali,14/04/2022,27.2
Barranquilla,14/04/2022,32.8
Cartagena,14/04/2022,32.0
Bogota,15/04/2022,15.6
Medellin,15/04/2022,23.7
Cali,15/04/2022,24.0
Barranquilla,15/04/2022,28.9
Cartagena,15/04/2022,29.0
Bogota,16/04/2022,13.3
Medellin,16/04/2022,22.9
Cali,16/04/2022,25.8
Barranquilla,16/04/2022,29.5
Cartagena,16/04/2022,29.2
Bogota,17/04/2022,14.9
Medellin,17/04/2022,20.3
Cali,17/04/2022,24.1
Barranquilla,17/04/2022,28.1
Cartagena,17/04/2022,29.6
Bogota,18/04/2022,12.6
Medellin,18/04/2022,20.6
Cali,18/04/2022,27.3
Barranquilla,18/04/2022,31.5
Cartagena,18/04/2022,32.4
Bogota,19/04/2022,12.8
Medellin,19/04/2022,22.8
Cali,19/04/2022,25.1
Barranquilla,19/04/2022,33.2
Cartagena,19/04/2022,28.7
Bogota,20/04/2022,12.6
Medellin,20/04/2022,23.2
Cali,20/04/2022,25.7
Barranquilla,20/04/2022,28.4
Cartagena,20/04/2022,29.7
Bogota,21/04/2022,14.6
Medellin,21/04/2022,21.2
Cali,21/04/2022,27.0
Barranquilla,21/04/2022,30.0
Cartagena,21/04/2022,28.7
Bogota,22/04/2022,14.1
Medellin,22/04/2022,24.5
Cali,22/04/2022,29.7
Barranquilla,22/04/2022,29.1
Cartagena,22/04/2022,29.8
Bogota,23/04/2022,15.8
Medellin,23/04/2022,22.5
Cali,23/04/2022,25.5
Barranquilla,23/04/2022,28.9
Cartagena,23/04/2022,30.4
Bogota,24/04/2022,16.1
Medellin,24/04/2022,23.7
Cali,24/04/2022,25.5
Barranquilla,24/04/2022,34.0
Cartagena,24/04/2022,27.1
Bogota,25/04/2022,14.2
Medellin,25/04/2022,21.4
Cali,25/04/2022,29.2
Barranquilla,25/04/2022,30.6
Cartagena,25/04/2022,30.3
Bogota,26/04/2022,12.5
Medellin,26/04/2022,23.6
Cali,26/04/2022,25.8
Barranquilla,26/04/2022,28.7
Cartagena,26/04/2022,28.5
Bogota,27/04/2022,12.0
Medellin,27/04/2022,22.5
Cali,27/04/2022,24.8
Barranquilla,27/04/2022,33.8
Cartagena,27/04/2022,30.6
Bogota,28/04/2022,16.0
Medellin,28/04/2022,25.0
Cali,28/04/2022,28.8
Barranquilla,28/04/2022,33.6
Cartagena,28/04/2022,28.0
Bogota,29/04/2022,12.3
Medellin,29/04/2022,23.3
Cali,29/04/2022,28.9
Barranquilla,29/04/2022,32.8
Cartagena,29/04/2022,30.0
Bogota,30/04/2022,14.9
Medellin,30/04/2022,22.1
Cali,30/04/2022,29.1
Barranquilla,30/04/2022,28.6
Cartagena,30/04/2022,29.9
Bogota,01/05/2022,16.5
Medellin,01/05/2022,25.6
Cali,01/05/2022,28.8
Barranquilla,01/05/2022,32.7
Cartagena,01/05/2022,31.1
Bogota,02/05/2022,13.6
Medellin,02/05/2022,24.9
Cali,02/05/2022,28.0
Barranquilla,02/05/2022,33.5
Cartagena,02/05/2022,29.1
Bogota,03/05/2022,14.6
Medellin,03/05/2022,25.2
Cali,03/05/2022,29.3
Barranquilla,03/05/2022,31.1
Cartagena,03/05/2022,29.9
Bogota,04/05/2022,13.0
Medellin,04/05/2022,21.1
Cali,04/05/2022,24.8
Barranquilla,04/05/2022,30.7
Cartagena,04/05/2022,30.1
Bogota,05/05/2022,16.0
Medellin,05/05/2022,23.3
Cali,05/05/2022,26.9
Barranquilla,05/05/2022,29.0
Cartagena,05/05/2022,30.1
Bogota,06/05/2022,13.3
Medellin,06/05/2022,21.9
Cali,06/05/2022,28.5
Barranquilla,06/05/2022,31.0
Cartagena,06/05/2022,27.1
Bogota,07/05/2022,16.1
Medellin,07/05/2022,26.0
Cali,07/05/2022,29.1
Barranquilla,07/05/2022,31.4
Cartagena,07/05/2022,27.8
Bogota,08/05/2022,13.9
Medellin,08/05/2022,25.4
Cali,08/05/2022,26.3
Barranquilla,08/05/2022,31.0
Cartagena,08/05/2022,29.0
Bogota,09/05/2022,12.4
Medellin,09/05/2022,22.6
Cali,09/05/2022,29.6
Barranquilla,09/05/2022,31.4
Cartagena,09/05/2022,28.7
Bogota,10/05/2022,13.6
Medellin,10/05/2022,21.9
Cali,10/05/2022,28.4
Barranquilla,10/05/2022,33.5
Cartagena,10/05/2022,30.8
Bogota,11/05/2022,16.5
Medellin,11/05/2022,21.8
Cali,11/05/2022,28.3
Barranquilla,11/05/2022,31.0
Cartagena,11/05/2022,27.9
Bogota,12/05/2022,13.3
Medellin,12/05/2022,25.5
Cali,12/05/2022,28.2
Barranquilla,12/05/2022,28.8
Cartagena,12/05/2022,31.2
Bogota,13/05/2022,14.0
Medellin,13/05/2022,23.7
Cali,13/05/2022,29.0
Barranquilla,13/05/2022,32.5
Cartagena,13/05/2022,28.2
Bogota,14/05/2022,13.8
Medellin,14/05/2022,20.3
Cali,14/05/2022,28.7
Barranquilla,14/05/2022,33.8
Cartagena,14/05/2022,30.0
Bogota,15/05/2022,12.0
Medellin,15/05/2022,21.2
Cali,15/05/2022,24.5
Barranquilla,15/05/2022,33.2
Cartagena,15/05/2022,30.7
Bogota,16/05/2022,15.1
Medellin,16/05/2022,20.9
Cali,16/05/2022,29.8
Barranquilla,16/05/2022,32.7
Cartagena,16/05/2022,30.7
Bogota,17/05/2022,14.9
Medellin,17/05/2022,25.1
Cali,17/05/2022,28.6
Barranquilla,17/05/2022,31.7
Cartagena,17/05/2022,32.3
Bogota,18/05/2022,16.4
Medellin,18/05/2022,25.5
Cali,18/05/2022,25.9
Barranquilla,18/05/2022,28.8
Cartagena,18/05/2022,31.9
Bogota,19/05/2022,16.3
Medellin,19/05/2022,25.2
Cali,19/05/2022,24.6
Barranquilla,19/05/2022,33.5
Cartagena,19/05/2022,31.9
Bogota,20/05/2022,14.4
Medellin,20/05/2022,24.5
Cali,20/05/2022,26.0
Barranquilla,20/05/2022,31.0
Cartagena,20/05/2022,29.5
Bogota,21/05/2022,14.9
Medellin,21/05/2022,24.2
Cali,21/05/2022,24.6
Barranquilla,21/05/2022,29.5
Cartagena,21/05/2022,29.8
Bogota,22/05/2022,15.1
Medellin,22/05/2022,20.7
Cali,22/05/2022,25.2
Barranquilla,22/05/2022,33.8
Cartagena,22/05/2022,31.0
Bogota,23/05/2022,13.7
Medellin,23/05/2022,24.6
Cali,23/05/2022,24.7
Barranquilla,23/05/2022,31.7
Cartagena,23/05/2022,32.8
Bogota,24/05/2022,14.4
Medellin,24/05/2022,20.6
Cali,24/05/2022,26.4
Barranquilla,24/05/2022,32.5
Cartagena,24/05/2022,32.5
Bogota,25/05/2022,13.3
Medellin,25/05/2022,21.6
Cali,25/05/2022,28.8
Barranquilla,25/05/2022,33.3
Cartagena,25/05/2022,27.2
Bogota,26/05/2022,14.4
Medellin,26/05/2022,20.6
Cali,26/05/2022,26.2
Barranquilla,26/05/2022,28.6
Cartagena,26/05/2022,29.0
Bogota,27/05/2022,14.6
Medellin,27/05/2022,25.2
Cali,27/05/2022,28.6
Barranquilla,27/05/2022,33.7
Cartagena,27/05/2022,30.0
Bogota,28/05/2022,15.3
Medellin,28/05/2022,20.2
Cali,28/05/2022,29.6
Barranquilla,28/05/2022,29.0
Cartagena,28/05/2022,27.4
Bogota,29/05/2022,12.3
Medellin,29/05/2022,20.7
Cali,29/05/2022,26.5
Barranquilla,29/05/2022,30.4
Cartagena,29/05/2022,32.8
Bogota,30/05/2022,16.3
Medellin,30/05/2022,20.7
Cali,30/05/2022,27.1
Barranquilla,30/05/2022,33.8
Cartagena,30/05/2022,30.2
Bogota,31/05/2022,15.9
Medellin,31/05/2022,24.1
Cali,31/05/2022,24.4
Barranquilla,31/05/2022,30.0
Cartagena,31/05/2022,31.7
Bogota,01/06/2022,14.2
Medellin,01/06/2022,25.6
Cali,01/06/2022,25.8
Barranquilla,01/06/2022,31.0
Cartagena,01/06/2022,33.0
Bogota,02/06/2022,15.9
Medellin,02/06/2022,21.1
Cali,02/06/2022,29.6
Barranquilla,02/06/2022,33.0
Cartagena,02/06/2022,31.7
Bogota,03/06/2022,13.6
Medellin,03/06/2022,20.3
Cali,03/06/2022,28.0
Barranquilla,03/06/2022,33.7
Cartagena,03/06/2022,30.3
Bogota,04/06/2022,14.1
Medellin,04/06/2022,25.1
Cali,04/06/2022,24.1
Barranquilla,04/06/2022,30.4
Cartagena,04/06/2022,27.0
Bogota,05/06/2022,13.4
Medellin,05/06/2022,20.5
Cali,05/06/2022,24.0
Barranquilla,05/06/2022,28.8
Cartagena,05/06/2022,31.4
Bogota,06/06/2022,12.6
Medellin,06/06/2022,22.6
Cali,06/06/2022,25.3
Barranquilla,06/06/2022,33.3
Cartagena,06/06/2022,29.5
Bogota,07/06/2022,16.3
Medellin,07/06/2022,20.6
Cali,07/06/2022,24.2
Barranquilla,07/06/2022,31.7
Cartagena,07/06/2022,29.0
Bogota,08/06/2022,12.9
Medellin,08/06/2022,24.2
Cali,08/06/2022,24.8
Barranquilla,08/06/2022,29.7
Cartagena,08/06/2022,28.9
Bogota,09/06/2022,14.9
Medellin,09/06/2022,20.8
Cali,09/06/2022,28.5
Barranquilla,09/06/2022,29.0
Cartagena,09/06/2022,32.0
Bogota,10/06/2022,16.3
Medellin,10/06/2022,20.8
Cali,10/06/2022,27.3
Barranquilla,10/06/2022,32.7
Cartagena,10/06/2022,31.3
Bogota,11/06/2022,14.1
Medellin,11/06/2022,23.8
Cali,11/06/2022,24.5
Barranquilla,11/06/2022,29.7
Cartagena,11/06/2022,29.8
Bogota,12/06/2022,15.1
Medellin,12/06/2022,23.5
Cali,12/06/2022,25.3
Barranquilla,12/06/2022,31.5
Cartagena,12/06/2022,31.2
Bogota,13/06/2022,16.1
Medellin,13/06/2022,24.0
Cali,13/06/2022,29.2
Barranquilla,13/06/2022,28.5
Cartagena,13/06/2022,30.9
Bogota,14/06/2022,12.5
Medellin,14/06/2022,25.0
Cali,14/06/2022,25.4
Barranquilla,14/06/2022,29.5
Cartagena,14/06/2022,27.2
Bogota,15/06/2022,15.2
Medellin,15/06/2022,25.8
Cali,15/06/2022,26.6
Barranquilla,15/06/2022,31.8
Cartagena,15/06/2022,32.9
Bogota,16/06/2022,12.9
Medellin,16/06/2022,25.3
Cali,16/06/2022,26.9
Barranquilla,16/06/2022,30.5
Cartagena,16/06/2022,27.5
Bogota,17/06/2022,13.7
Medellin,17/06/2022,23.8
Cali,17/06/2022,24.9
Barranquilla,17/06/2022,29.4
Cartagena,17/06/2022,29.8
Bogota,18/06/2022,13.4
Medellin,18/06/2022,25.1
Cali,18/06/2022,29.2
Barranquilla,18/06/2022,31.3
Cartagena,18/06/2022,31.8
Bogota,19/06/2022,15.2
Medellin,19/06/2022,21.4
Cali,19/06/2022,29.2
Barranquilla,19/06/2022,28.9
Cartagena,19/06/2022,27.7
Bogota,20/06/2022,14.5
